"station_id","station_name","latitude","longitude","elevation","tz"
101019,"HELLS HALF",45.64548,-114.62798,8100,"America/Los_Angeles"
408001,"CHICKASAW SF",35.37132,-88.82893,439,"America/Chicago"
409503,"DELANO",35.24778,-84.58139,695,"America/New_York"
223301,"DELTA RD",32.90333,-90.87167,100,"America/Chicago"
100424,"LINES CREEK",47.11092,-116.22518,5140,"America/Los_Angeles"
12701,"TALLADEGA",33.44111,-86.08111,600,"America/Chicago"
90401,"CHATSWORTH",34.76639,-84.75889,765,"America/New_York"
86702,"CACHE",25.39028,-80.68028,5,"America/New_York"
41214,"JARBO GAP",39.73591,-121.48898,2535,"America/Los_Angeles"
34802,"JESSIEVILLE",34.69194,-93.22,675,"America/Chicago"
86402,"MILES CITY RAWS",26.24831,-81.29533,15,"America/New_York"
13001,"EUTAW",32.91272,-87.89519,372,"America/Chicago"
13201,"OAKMULGEE",32.95722,-87.17056,363,"America/Chicago"
160401,"CANEY",32.80417,-93.06667,230,"America/Chicago"
12201,"MT. LONGLEAF",33.71722,-85.76222,1050,"America/Chicago"
300712,"USMA",41.365,-74.02667,922,"America/New_York"
90201,"ARMUCHEE",34.69528,-85.17361,1152,"America/New_York"
312001,"RENDEZVOUS MTN.",36.22717,-81.29666,2384,"America/New_York"
441906,"SAWMILL RIDGE",38.09992,-78.79192,2072,"America/New_York"
301111,"CATSKILL CENTER",42.0275,-74.26889,670,"America/New_York"
407102,"BLEDSOE SF",35.68194,-85.27333,1780,"America/Chicago"
15501,"SANDERS HILL",31.70058,-86.03253,528,"America/Chicago"
353209,"MOUNT STELLA",42.93611,-122.43472,4700,"America/Los_Angeles"
413503,"ZAVALLA",31.1772,-94.38386,127,"America/Chicago"
350728,"EAGLE CREEK",45.36794,-122.33097,740,"America/Los_Angeles"
412901,"SABINE NORTH 2",31.80247,-94.00022,229,"America/Chicago"
319004,"NEW BERN",35.09686,-77.11099,20,"America/New_York"
83001,"LOWER SUWANNEE",29.37278,-83.04472,15,"America/New_York"
86404,"RACCOON POINT RAWS",25.97806,-80.90414,7,"America/New_York"
404001,"CAMDEN TOWER",36.06611,-88.16861,512,"America/Chicago"
315902,"JACKSON COUNTY",35.31583,-83.20694,2800,"America/New_York"
40507,"MAD RIVER",40.46302,-123.52379,2873,"America/Los_Angeles"
36502,"BLUFF CITY",33.69222,-93.1625,360,"America/Chicago"
100717,"EAGLE",46.80083,-115.53722,5585,"America/Los_Angeles"
35102,"SHERIDAN",34.27643,-92.39942,272,"America/Chicago"
496033,"KAPAPALA RANCH",19.25811,-155.44178,1733,"Pacific/Honolulu"
32101,"ARMSTEAD MOUNTAIN",35.57306,-92.81917,1560,"America/Chicago"
12302,"TERRAPIN CREEK",33.89347,-85.52789,805,"America/Chicago"
84402,"MERRITT ISLAND",28.64083,-80.73083,30,"America/New_York"
86301,"HONEYMOON RAWS",26.19475,-81.06677,14,"America/New_York"
313404,"JESSEN STATION",36.05283,-82.37907,3634,"America/New_York"
317901,"FAIRFIELD",35.54172,-76.22308,5,"America/New_York"
83703,"LAKE WOODRUFF",29.09815,-81.36652,16,"America/New_York"
36901,"UAM",33.59979,-91.8108,275,"America/Chicago"
352025,"JORDAN",44.71756,-122.69225,742,"America/Los_Angeles"
405801,"COVINGTON",35.58917,-89.58692,280,"America/Chicago"
383001,"HORRY",33.9368,-79.08485,8,"America/New_York"
